Title	Image File	URL
My books	Vector_Book_blue.svg	ftp://danetiska.com/media/books
My FTP server	Antu_kftpgrabber.svg	ftp://danetiska.com/
Nabla Operator in Various Coordinates	nabla.svg	https://en.m.wikipedia.org/wiki/Del_in_cylindrical_and_spherical_coordinates
Library Genesis	library_genesis.svg	https://93.174.95.27
SciHub	SXOVs9Y.svg	https://mg.scihub.ltd/
Random Password Generator	random-password-generator.svg	https://passwordsgenerator.net/
Online image vectorizer	autotracer.svg	https://www.autotracer.org/
Video Downloader	distillvideo.svg	https://distillvideo.com/
Russian keyboard	typeit.svg	https://russian.typeit.org/
Encode Decode	green_metal_letter_e.svg	https://encode-decode.com/
Arch Wiki	Archlinux-icon-crystal-64.svg	https://wiki.archlinux.org/
Heavens Above	LogoNew.svg	https://heavens-above.com/
Periodic Table	pt.svg	https://ptable.com/
URL Shortener	isgd.svg	https://is.gd
